,fold,model,DeepRank_GNN,nclash,fnat,fnonnat,lrmsd,irmsdbb,irmsdsc,distance,theta,seqid,classification,caseID,target,DeepRank,HADDOCK,iScore,ATOM20,ATOM40,GOAP,ATOM+GOAP,GNN_DOVE
99480,fold6,T29_0_conv,0.0021692756563425,95/100,0.0,1.0,68.5528,21.9042,23.3471,63.1928,159.2791,90.9,incorrect,T29,0,2.2766900062561035,-66.6531,-0.453,0.0031,0.0,0.7067,0.0004,0.1912
99481,fold6,T29_1000_conv,0.0336262807250022,40/100,0.0,1.0,16.8429,9.8458,10.7171,7.7771,67.1773,94.5,incorrect,T29,0,1.1379041969776154,-65.6078,-0.568,0.2474,0.044,0.0042,0.3989999999999999,0.2214
99482,fold6,T29_1001_conv,0.0054554678499698,3/100,0.0,1.0,29.9859,14.5198,14.9652,25.7681,86.2917,90.9,incorrect,T29,0,-4.912790298461914,-76.41506,0.116,0.0617,0.0743,0.0734,0.7725,0.096
99483,fold6,T29_1002_conv,-0.0002075005322694,65/100,0.0,1.0,69.2146,21.7389,23.1582,63.76,164.6142,90.9,incorrect,T29,0,1.701098918914795,9.46515,-0.292,0.0062,0.0001,0.7277,0.0211,0.5877
99484,fold6,T29_1003_conv,0.0134178455919027,2/100,0.0,1.0,71.4243,23.4717,25.2164,67.0102,128.6703,88.3,incorrect,T29,0,-4.83894944190979,-50.94296,-0.68,0.0125,0.0588,0.001,0.0162,0.1148
99485,fold6,T29_1004_conv,0.0159380827099084,23/100,0.0,1.0,35.3488,15.8493,17.4157,26.661,130.5308,88.3,incorrect,T29,0,-1638.3701171875,2033.22331,3.848,0.008,0.0083,0.1682,0.02,0.1025
99486,fold6,T29_1005_conv,0.0197808369994163,2/100,0.175,0.875,19.264,7.5102,8.0994,7.6761,86.48299999999999,94.5,incorrect,T29,0,0.5712990760803223,-70.03318,-0.028,0.0192,0.0,0.0387,0.0414,0.1668
99487,fold6,T29_1006_conv,0.0035694856196641,3/100,0.0,1.0,69.6773,24.292,25.814,65.5309,138.7766,88.3,incorrect,T29,0,-5.038676977157593,-43.91961,0.086,0.0014,0.003,0.0052,0.0116,0.0939
99488,fold6,T29_1007_conv,0.017972394824028,22/100,0.0,1.0,29.6326,11.5624,12.5848,14.7779,143.0961,88.3,incorrect,T29,0,2.792266845703125,-34.997820000000004,-0.116,0.0266,0.0047,0.0011,0.3314,0.1293
99489,fold6,T29_1008_conv,0.0128927584737539,17/100,0.0,1.0,31.8913,14.6321,15.7421,16.677,178.8601,94.5,incorrect,T29,0,-0.3263663947582245,-3.40052,0.464,0.027,0.0063,0.1024,0.5082,0.1043
